"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"136 GHz";"141 GHz";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-Satellite";"5.149";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-Satellite";"5.149";"";"Amateur-satellite";"";"Within the band 134-141 GHz"
"136 GHz";"141 GHz";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-Satellite";"5.149";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-Satellite";"5.149";"";"Radio astronomy";"";"Continuum and spectral line observations"
"136 GHz";"141 GHz";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-Satellite";"5.149";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-Satellite";"5.149";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"141 GHz";"148.5 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"ECC/REC/(18)01";"Fixed";"";""
"141 GHz";"148.5 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"";"Radio astronomy";"";"Continuum and spectral line observations"
"141 GHz";"148.5 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"148.5 GHz";"151.5 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"";"Passive sensors (satellite)";"";"Harmonised reference window for passive sensor observations"
"148.5 GHz";"151.5 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"";"Radio astronomy";"";"Continuum and spectral line observations"
"148.5 GHz";"151.5 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"151.5 GHz";"155.5 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"ECC/REC/(18)01";"Fixed";"";""
"151.5 GHz";"155.5 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"";"Radio astronomy";"";"Continuum and spectral line observations"
"151.5 GHz";"155.5 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"155.5 GHz";"158.5 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149";"ECC/REC/(18)01";"Fixed";"";""
"155.5 GHz";"158.5 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149";"";"Passive sensors (satellite)";"";"Protection until 1.1.2018"
"155.5 GHz";"158.5 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149";"";"Radio astronomy";"";"Spectral line and wide band continuum observations"
"155.5 GHz";"158.5 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149";"EARTH EXPLORATION-SATELLITE (PASSIVE), FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"158.5 GHz";"164 GHz";"FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, MOBILE-SATELLITE (SPACE-TO-EARTH)";"";"FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, MOBILE-SATELLITE (SPACE-TO-EARTH)";"";"ECC/REC/(18)01";"Fixed";"";""
"158.5 GHz";"164 GHz";"FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, MOBILE-SATELLITE (SPACE-TO-EARTH)";"";"FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE, MOBILE-SATELLITE (SPACE-TO-EARTH)";"";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
